level,message,count,sample_sd_product_codes
warning,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",43,HYOT21617AT | SAOT21632AT | HYOT21681AT | HYOT21691AT | HYOT21695AT | HYOT21696AT | HYOT22733AT | HYOT22737AT | HYOT22740AT | HYOT22742AT | SAOT22749AT | SAOT22751AT | HYOT22755AT | SAOT22757AT | SAOT22759AT | HYOT22763AT | MIOT22764AT | SAOT23802AT | SAOT23818AT | MIOT23836AT
error,Year segment must be YY or MD: AT.,26,OOISAT041AT | OOIVAT060BK | ATBMAT175AT | OOMGAT182AT | ATOTAT320AT | SANBAT357AT | SANBAT358AT | SATCAT359AT | SANBAT360AT | SASNAT361AT | OOCYAT362AT | OOPMAT363AT | OOLFAT364AT | OOMXAT365AT | OOMXAT366AT | SAELAT367AT | SAELAT368AT | SANBAT369AT | SANTAT706AT | SAKSAT707AT
warning,"Maker legacy code LF is shared by ['LAFITNESS', 'LIFE_FITNESS'].",18,OOLF16061AB | OOLF16062AM | OOLF15063AT | OOLF15064LG | OOLF19284AT | OOLF19299AT | OOLF19311AT | OOLF19340AT | OOLF19341AT | OOLF19342AT | OOLF19343AT | OOLF19356AT | SALF19446AT | SALF19447AT | HYLF19448AT | HYLF20546AT | SALF20599AT | SALF20600AT
warning,"Maker legacy code HS is shared by ['HAMMER_STRENGTH', 'HS'].",17,OOHs18037AT | OOHS16146AM | OOHS16147AT | OOHS16148AT | OOHS16149CH | OOHS16150AT | OOHS16151AT | OOHS16152AT | OOHS18153AT | OOHS17154LG | OOHS15155AT | OOHS15156AT | OOHS18188AT | HYHS19287AT | OOHS19309AT | OOHS19310AT | HYHS19449AT
warning,"Maker legacy code MC is shared by ['MAXICAM', 'MUSCLE_CLAMP'].",13,HYMC15183AT | SAMC19443AT | HYMC20504AT | HYMC20505AT | HYMC20508AT | HYMC20512AT | SAMC21642AT | SAMC21643AT | SAMC21644AT | SAMC21645AT | SAMC21646AT | SAMC21647AT | SAMC23803AT
warning,"Maker legacy code BM is shared by ['BODY_MAKER', 'BODY_MASTERS'].",12,OOBM16176LG | OOBM15177AT | OOBM15178AT | OOBM15179AT | OOBM15180AT | OOBM15181AT | OOBM19324AT | MIBm19377AT | SABm19442AT | HYBm20454AT | HYBm22758AT | HYBm22762AT
warning,"Maker legacy code IG is shared by ['IGNIO', 'IRON_GRIP'].",5,OOIG15042AT | OOIG15043AT | OOIG15044AT | MIIg18213AT | HYIG21704AT
warning,"Maker legacy code PB is shared by ['PB', 'POWER_BLOCK'].",3,SAPB20483AT | HYPB20608AT | HYPB23852AT
warning,"Legacy empty part code detected. Existing code is accepted, but new numbering should use a non-empty part code.",1,OONT16124
error,"Maker code mismatch: expected MX, got NT.",1,SANT21651AT
error,"Maker code mismatch: expected PB, got NT.",1,ATNT18190AT
error,Unknown maker legacy code in HYKT16087AT: KT.,1,HYKT16087AT
error,Unknown maker legacy code in HYKT18194AT: KT.,1,HYKT18194AT
error,Unknown maker legacy code in HYKT18195AT: KT.,1,HYKT18195AT
error,Unknown maker legacy code in HYKT21665AT: KT.,1,HYKT21665AT
error,Unknown maker legacy code in HYUS20485AT: US.,1,HYUS20485AT
error,Unknown maker legacy code in HYUS20486AT: US.,1,HYUS20486AT
error,Unknown maker legacy code in HYUS20487AT: US.,1,HYUS20487AT
error,Unknown maker legacy code in OOUS19344AT: US.,1,OOUS19344AT
error,Unknown maker legacy code in SAUS20473AT: US.,1,SAUS20473AT
