master_type,code,display_name,legacy_value,legacy_code,aliases,is_active,sort_order,site_label,remarks
category,strength_machine,ストレングスマシン,ストレングスマシン,strength_machine,ストレングス,true,10,ストレングスマシン,
category,free_weight,フリーウェイト,フリーウェイト,free_weight,フリーウエイト,true,20,フリーウェイト,
category,cardio_machine,有酸素マシン,有酸素マシン,cardio_machine,有酸素,true,30,有酸素マシン,
category,weight_stack_neck,ウェイトスタック 首,ウェイトスタック 首,weight_stack_neck,,true,101,ウェイトスタック 首,
category,weight_stack_shoulder,ウェイトスタック 肩,ウェイトスタック 肩,weight_stack_shoulder,,true,102,ウェイトスタック 肩,
category,weight_stack_arm,ウェイトスタック 腕,ウェイトスタック 腕,weight_stack_arm,,true,103,ウェイトスタック 腕,
category,weight_stack_chest,ウェイトスタック 胸,ウェイトスタック 胸,weight_stack_chest,,true,104,ウェイトスタック 胸,
category,weight_stack_back,ウェイトスタック 背中,ウェイトスタック 背中,weight_stack_back,,true,105,ウェイトスタック 背中,
category,weight_stack_leg,ウェイトスタック 脚,ウェイトスタック 脚,weight_stack_leg,,true,106,ウェイトスタック 脚,
category,weight_stack_abdomen,ウェイトスタック 腹,ウェイトスタック 腹,weight_stack_abdomen,,true,107,ウェイトスタック 腹,
category,weight_stack_multi,ウェイトスタック マルチ,ウェイトスタック マルチ,weight_stack_multi,,true,108,ウェイトスタック マルチ,
category,dumbbell_plate_bar,ダンベル・プレート・バー,ダンベル・プレート・バー,dumbbell_plate_bar,,true,110,ダンベル・プレート・バー,
category,bench_rack,ベンチ・ラック,ベンチ・ラック,bench_rack,,true,120,ベンチ・ラック,
category,plate_loading,プレートローディング,プレートローディング,plate_loading,,true,130,プレートローディング,
category,treadmill,トレッドミル,トレッドミル,treadmill,,true,140,トレッドミル,
category,bike,バイク,バイク,bike,,true,150,バイク,
category,cross_trainer,クロストレーナー,クロストレーナー,cross_trainer,,true,160,クロストレーナー,
category,nursing_care,介護,介護,nursing_care,,true,170,介護,
category,rubber_mat,ゴムマット,ゴムマット,rubber_mat,,true,180,ゴムマット,
category,set_product,セット商品,セット商品,set_product,,true,190,セット商品,
category,training_goods,トレーニンググッズ,トレーニンググッズ,training_goods,トレーニグッズング,true,200,トレーニンググッズ,表記ゆれ「トレーニグッズング」を alias 吸収
category,maintenance_other,メンテナンス・その他,メンテナンス・その他,maintenance_other,,true,210,メンテナンス・その他,
category,refurbish_item,リファービッシュ品,リファービッシュ品,refurbish_item,,true,220,リファービッシュ品,
category,attachment,アタッチメント,アタッチメント,attachment,,true,230,アタッチメント,
category,accessory,アクセサリー,アクセサリー,accessory,備品,true,900,アクセサリー,
category,uncategorized,未分類,未分類,uncategorized,その他|未設定,true,999,未分類,旧データ互換の退避用
