master_type,code,display_name,legacy_value,legacy_code,aliases,is_active,sort_order,site_label,remarks
store,OO,大阪本部,大阪本部,OO,大阪|大阪本部,true,10,大阪本部,
store,OK,大阪粉浜,大阪粉浜,OK,粉浜,true,11,大阪粉浜,
store,OI,大阪今里,大阪今里,OI,今里,true,12,大阪今里,
store,HY,兵庫,兵庫,HY,兵庫|兵庫倉庫,true,20,兵庫,
store,HN,兵庫西脇,兵庫西脇,HN,西脇,true,21,兵庫西脇,
store,SA,埼玉,埼玉,SA,埼玉|埼玉倉庫,true,30,埼玉,
store,MI,三重,三重,MI,,true,40,三重,
store,YA,山口,山口,YA,,true,50,山口,
store,EH,愛媛,愛媛,EH,,true,60,愛媛,
store,KU,熊本,熊本,KU,,true,70,熊本,
store,OY,大阪山下,大阪山下,OY,山下,true,80,大阪山下,
store,MD,メーカー直送,メーカー直送,MD,直送,true,90,メーカー直送,
store,AT,未設定,未設定,AT,その他|未設定|空白,true,999,未設定,旧データ互換の退避用
