sd_product_code,slug,image_status,list_view_result,detail_view_result,placeholder_branch_ok,notes
HYEL15009AT,hyel15009at,placeholder,ok:画像準備中表示,ok:画像準備中表示,yes,displayUrl は保持するが、通常画像としては使わない
OOEL15011AT,ooel15011at,placeholder,ok:画像準備中表示,ok:画像準備中表示,yes,displayUrl は保持するが、通常画像としては使わない
HYRB16075LG,hyrb16075lg,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=1
HYKT16087AT,hykt16087at,placeholder,ok:画像準備中表示,ok:画像準備中表示,yes,displayUrl は保持するが、通常画像としては使わない
HYBL16161AT,hybl16161at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=2
HYMC15183AT,hymc15183at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=1
MIYY18214AT,miyy18214at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=1
HYIV18231AT,hyiv18231at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=2
MDHZMD249AT,mdhzmd249at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=3
HYHS19287AT,hyhs19287at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=1
HYIV19345AT,hyiv19345at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=2
HYEL15488AT,hyel15488at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=2
HYNB20588AT,hynb20588at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=1
HYNB20589AT,hynb20589at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=1
HYCP20610AT,hycp20610at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=6
HYSN21620AT,hysn21620at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=3
MINB21638AT,minb21638at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=1
HYSN21664AT,hysn21664at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=4
HYMX21687AT,hymx21687at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=5
HYTG21690AT,hytg21690at,ready,ok:displayUrl表示,ok:galleryUrls表示,not_applicable,gallery=6
