sd_product_code,slug,image_seq,source_path,source_ext,source_width,source_height,derived_path,derived_ext,derived_width,derived_height,background_mode,transform_mode,status,notes
EHTC22772AT,ehtc22772at,1,data/raw-images/wordpress-public/EHTC22772AT/EHTC22772AT_1.jpg,jpg,700,933,data/derived-images/public-700x700/EHTC22772AT/EHTC22772AT-01-700x700.jpg,jpg,700,700,white_pad,contain_pad,generated,
EHTC22772AT,ehtc22772at,2,data/raw-images/wordpress-public/EHTC22772AT/EHTC22772AT_2.jpg,jpg,700,933,data/derived-images/public-700x700/EHTC22772AT/EHTC22772AT-02-700x700.jpg,jpg,700,700,white_pad,contain_pad,generated,
EHTC22772AT,ehtc22772at,3,data/raw-images/wordpress-public/EHTC22772AT/EHTC22772AT_3.jpg,jpg,700,933,data/derived-images/public-700x700/EHTC22772AT/EHTC22772AT-03-700x700.jpg,jpg,700,700,white_pad,contain_pad,generated,
EHTC22772AT,ehtc22772at,4,data/raw-images/wordpress-public/EHTC22772AT/EHTC22772AT_4.jpg,jpg,700,933,data/derived-images/public-700x700/EHTC22772AT/EHTC22772AT-04-700x700.jpg,jpg,700,700,white_pad,contain_pad,generated,
EHTC22772AT,ehtc22772at,5,data/raw-images/wordpress-public/EHTC22772AT/EHTC22772AT_5.jpg,jpg,700,933,data/derived-images/public-700x700/EHTC22772AT/EHTC22772AT-05-700x700.jpg,jpg,700,700,white_pad,contain_pad,generated,
HNOT24906AT,hnot24906at,1,data/raw-images/wordpress-public/HNOT24906AT/HNOT24906AT_1.jpg,jpg,525,700,data/derived-images/public-700x700/HNOT24906AT/HNOT24906AT-01-700x700.jpg,jpg,700,700,white_pad,contain_pad,generated,
HNOT24906AT,hnot24906at,2,data/raw-images/wordpress-public/HNOT24906AT/HNOT24906AT_2.jpg,jpg,525,700,data/derived-images/public-700x700/HNOT24906AT/HNOT24906AT-02-700x700.jpg,jpg,700,700,white_pad,contain_pad,generated,
HNOT24914AT,hnot24914at,1,data/raw-images/wordpress-public/HNOT24914AT/HNOT24914AT_1.jpg,jpg,579,579,data/derived-images/public-700x700/HNOT24914AT/HNOT24914AT-01-700x700.jpg,jpg,700,700,none,contain_square,generated,
HNOT24914AT,hnot24914at,2,data/raw-images/wordpress-public/HNOT24914AT/HNOT24914AT_2.jpg,jpg,377,377,data/derived-images/public-700x700/HNOT24914AT/HNOT24914AT-02-700x700.jpg,jpg,700,700,none,contain_square,generated,
HYBL16161AT,hybl16161at,1,data/raw-images/wordpress-public/HYBL16161AT/HYBL16161AT_1.jpg,jpg,352,434,data/derived-images/public-700x700/HYBL16161AT/HYBL16161AT-01-700x700.jpg,jpg,700,700,white_pad,contain_pad,generated,
HYBL16161AT,hybl16161at,2,data/raw-images/wordpress-public/HYBL16161AT/HYBL16161AT_2.jpg,jpg,3000,3000,data/derived-images/public-700x700/HYBL16161AT/HYBL16161AT-02-700x700.jpg,jpg,700,700,none,contain_square,generated,
HYCP20610AT,hycp20610at,1,data/raw-images/wordpress-public/HYCP20610AT/HYCP20610AT_1.jpg,jpg,700,700,data/derived-images/public-700x700/HYCP20610AT/HYCP20610AT-01-700x700.jpg,jpg,700,700,none,contain_square,generated,
HYCP20610AT,hycp20610at,2,data/raw-images/wordpress-public/HYCP20610AT/HYCP20610AT_2.jpg,jpg,700,700,data/derived-images/public-700x700/HYCP20610AT/HYCP20610AT-02-700x700.jpg,jpg,700,700,none,contain_square,generated,
HYCP20610AT,hycp20610at,3,data/raw-images/wordpress-public/HYCP20610AT/HYCP20610AT_3.jpg,jpg,700,700,data/derived-images/public-700x700/HYCP20610AT/HYCP20610AT-03-700x700.jpg,jpg,700,700,none,contain_square,generated,
HYCP20610AT,hycp20610at,4,data/raw-images/wordpress-public/HYCP20610AT/HYCP20610AT_4.jpg,jpg,700,700,data/derived-images/public-700x700/HYCP20610AT/HYCP20610AT-04-700x700.jpg,jpg,700,700,none,contain_square,generated,
HYCP20610AT,hycp20610at,5,data/raw-images/wordpress-public/HYCP20610AT/HYCP20610AT_5.jpg,jpg,700,700,data/derived-images/public-700x700/HYCP20610AT/HYCP20610AT-05-700x700.jpg,jpg,700,700,none,contain_square,generated,
HYCP20610AT,hycp20610at,6,data/raw-images/wordpress-public/HYCP20610AT/HYCP20610AT_6.jpg,jpg,700,700,data/derived-images/public-700x700/HYCP20610AT/HYCP20610AT-06-700x700.jpg,jpg,700,700,none,contain_square,generated,
HYCP23875AT,hycp23875at,1,data/raw-images/wordpress-public/HYCP23875AT/HYCP23875AT_1.jpg,jpg,700,700,data/derived-images/public-700x700/HYCP23875AT/HYCP23875AT-01-700x700.jpg,jpg,700,700,none,contain_square,generated,
