row_no,level,issue_code,message,sd_product_code,master_type,raw_value
2,warning,image_url_suspicious,画像1 is not a URL and was excluded from source_image_urls_json.,OOB116001AT,image,中村様
2,warning,image_url_suspicious,画像3 is not a URL and was excluded from source_image_urls_json.,OOB116001AT,image,見積中
2,warning,image_missing,No source image URLs found in 画像1〜3.,OOB116001AT,,
3,warning,image_missing,No source image URLs found in 画像1〜3.,OOB116002AT,,
4,warning,image_missing,No source image URLs found in 画像1〜3.,OOCY16003LG,,
5,warning,image_missing,No source image URLs found in 画像1〜3.,OOCY16004CH,,
6,warning,image_missing,No source image URLs found in 画像1〜3.,HYCY17005BK,,
7,warning,image_missing,No source image URLs found in 画像1〜3.,OOCY15006AT,,
8,warning,image_missing,No source image URLs found in 画像1〜3.,OOEG15007AT,,
9,warning,image_missing,No source image URLs found in 画像1〜3.,OOEL15008AT,,
10,warning,image_missing,No source image URLs found in 画像1〜3.,HYEL15009AT,,
11,warning,image_missing,No source image URLs found in 画像1〜3.,OOEL15010AT,,
12,warning,image_missing,No source image URLs found in 画像1〜3.,OOEL15011AT,,
13,warning,image_missing,No source image URLs found in 画像1〜3.,HYEL15012AT,,
14,warning,image_missing,No source image URLs found in 画像1〜3.,HYEL15013AT,,
15,warning,image_missing,No source image URLs found in 画像1〜3.,OOEL15014AT,,
16,warning,image_missing,No source image URLs found in 画像1〜3.,OOEL15015AT,,
17,warning,image_missing,No source image URLs found in 画像1〜3.,OOEL15016AT,,
18,warning,image_missing,No source image URLs found in 画像1〜3.,OOEL15017AT,,
19,warning,image_missing,No source image URLs found in 画像1〜3.,OOEL15018AT,,
19,warning,sd_product_code_validation,Legacy maker code EL is accepted for expected EV.,OOEL15018AT,,
20,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL16019AT,,
21,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL16020AT,,
22,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL16021AT,,
23,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL16022AT,,
24,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL16023AB,,
25,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL17024AT,,
26,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL15025AT,,
27,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL15026AM,,
28,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL15027AT,,
29,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL15028AT,,
30,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL15029AT,,
31,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL16030AT,,
32,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL16031LG,,
33,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL15032AT,,
34,warning,image_missing,No source image URLs found in 画像1〜3.,OOFL15033AT,,
35,warning,image_missing,No source image URLs found in 画像1〜3.,OOFM17034BK,,
36,warning,image_missing,No source image URLs found in 画像1〜3.,OOGG15035AT,,
37,warning,image_missing,No source image URLs found in 画像1〜3.,OOGP16036AT,,
