sd_product_code,slug,product_url,page_fetch_status,product_code_in_page,hidden_product_code,image_url,image_http_status,saved_path,file_ext,source_type,notes
HYEL15009AT,hyel15009at,https://machine-group.net/products/hyel15009at/,200,HYEL15009AT,HYEL15009AT,https://machine-group.net/wp-content/themes/strongdepot/images/noimage.jpg,200,data/raw-images/wordpress-public/HYEL15009AT/noimage.jpg,jpg,gallery,
OOEL15011AT,ooel15011at,https://machine-group.net/products/ooel15011at/,200,OOEL15011AT,OOEL15011AT,https://machine-group.net/wp-content/themes/strongdepot/images/noimage.jpg,200,data/raw-images/wordpress-public/OOEL15011AT/noimage.jpg,jpg,gallery,
HYRB16075LG,hyrb16075lg,https://machine-group.net/products/hyrb16075lg/,200,HYRB16075LG,HYRB16075LG,https://machine-group.net/wp-content/uploads/HYRB16075LG_1.jpg,200,data/raw-images/wordpress-public/HYRB16075LG/HYRB16075LG_1.jpg,jpg,gallery,
HYKT16087AT,hykt16087at,https://machine-group.net/products/hykt16087at/,200,HYKT16087AT,HYKT16087AT,https://machine-group.net/wp-content/themes/strongdepot/images/noimage.jpg,200,data/raw-images/wordpress-public/HYKT16087AT/noimage.jpg,jpg,gallery,
HYBL16161AT,hybl16161at,https://machine-group.net/products/hybl16161at/,200,HYBL16161AT,HYBL16161AT,https://machine-group.net/wp-content/uploads/HYBL16161AT_1.jpg,200,data/raw-images/wordpress-public/HYBL16161AT/HYBL16161AT_1.jpg,jpg,gallery,
HYBL16161AT,hybl16161at,https://machine-group.net/products/hybl16161at/,200,HYBL16161AT,HYBL16161AT,https://machine-group.net/wp-content/uploads/HYBL16161AT_2.jpg,200,data/raw-images/wordpress-public/HYBL16161AT/HYBL16161AT_2.jpg,jpg,gallery,
HYMC15183AT,hymc15183at,https://machine-group.net/products/hymc15183at/,200,HYMC15183AT,HYMC15183AT,https://machine-group.net/wp-content/uploads/HYMC15183AT_1.jpg,200,data/raw-images/wordpress-public/HYMC15183AT/HYMC15183AT_1.jpg,jpg,gallery,
MIYY18214AT,miyy18214at,https://machine-group.net/products/miyy18214at/,200,MIYY18214AT,MIYY18214AT,https://machine-group.net/wp-content/uploads/MIYY18214AT_1.jpg,200,data/raw-images/wordpress-public/MIYY18214AT/MIYY18214AT_1.jpg,jpg,gallery,
HYIV18231AT,hyiv18231at,https://machine-group.net/products/hyiv18231at/,200,HYIV18231AT,HYIV18231AT,https://machine-group.net/wp-content/uploads/HYIV18231AT_1.jpg,200,data/raw-images/wordpress-public/HYIV18231AT/HYIV18231AT_1.jpg,jpg,gallery,
HYIV18231AT,hyiv18231at,https://machine-group.net/products/hyiv18231at/,200,HYIV18231AT,HYIV18231AT,https://machine-group.net/wp-content/uploads/HYIV18231AT_2.jpg,200,data/raw-images/wordpress-public/HYIV18231AT/HYIV18231AT_2.jpg,jpg,gallery,
MDHZMD249AT,mdhzmd249at,https://machine-group.net/products/mdhzmd249at/,200,,MDHZMD249AT,https://machine-group.net/wp-content/uploads/MDHZMD249AT_1.jpg,200,data/raw-images/wordpress-public/MDHZMD249AT/MDHZMD249AT_1.jpg,jpg,gallery,
MDHZMD249AT,mdhzmd249at,https://machine-group.net/products/mdhzmd249at/,200,,MDHZMD249AT,https://machine-group.net/wp-content/uploads/MDHZMD249AT_2.jpg,200,data/raw-images/wordpress-public/MDHZMD249AT/MDHZMD249AT_2.jpg,jpg,gallery,
MDHZMD249AT,mdhzmd249at,https://machine-group.net/products/mdhzmd249at/,200,,MDHZMD249AT,https://machine-group.net/wp-content/uploads/MDHZMD249AT_3.jpg,200,data/raw-images/wordpress-public/MDHZMD249AT/MDHZMD249AT_3.jpg,jpg,gallery,
HYHS19287AT,hyhs19287at,https://machine-group.net/products/hyhs19287at/,200,HYHS19287AT,HYHS19287AT,https://machine-group.net/wp-content/uploads/HYHS19287AT_1.jpg,200,data/raw-images/wordpress-public/HYHS19287AT/HYHS19287AT_1.jpg,jpg,gallery,
HYIV19345AT,hyiv19345at,https://machine-group.net/products/hyiv19345at/,200,HYIV19345AT,HYIV19345AT,https://machine-group.net/wp-content/uploads/HYIV19345AT_1.jpg,200,data/raw-images/wordpress-public/HYIV19345AT/HYIV19345AT_1.jpg,jpg,gallery,
HYIV19345AT,hyiv19345at,https://machine-group.net/products/hyiv19345at/,200,HYIV19345AT,HYIV19345AT,https://machine-group.net/wp-content/uploads/HYIV19345AT_2.jpg,200,data/raw-images/wordpress-public/HYIV19345AT/HYIV19345AT_2.jpg,jpg,gallery,
HYEL15488AT,hyel15488at,https://machine-group.net/products/hyel15488at/,200,HYEL15488AT,HYEL15488AT,https://machine-group.net/wp-content/uploads/HYEL15488AT_1.jpg,200,data/raw-images/wordpress-public/HYEL15488AT/HYEL15488AT_1.jpg,jpg,gallery,
HYEL15488AT,hyel15488at,https://machine-group.net/products/hyel15488at/,200,HYEL15488AT,HYEL15488AT,https://machine-group.net/wp-content/uploads/HYEL15488AT_2.jpg,200,data/raw-images/wordpress-public/HYEL15488AT/HYEL15488AT_2.jpg,jpg,gallery,
HYNB20588AT,hynb20588at,https://machine-group.net/products/hynb20588at/,200,HYNB20588AT,HYNB20588AT,https://machine-group.net/wp-content/uploads/HYNB20588AT_1.jpg,200,data/raw-images/wordpress-public/HYNB20588AT/HYNB20588AT_1.jpg,jpg,gallery,
HYNB20589AT,hynb20589at,https://machine-group.net/products/hynb20589at/,200,HYNB20589AT,HYNB20589AT,https://machine-group.net/wp-content/uploads/HYNB20589AT_1.jpg,200,data/raw-images/wordpress-public/HYNB20589AT/HYNB20589AT_1.jpg,jpg,gallery,
